Банк;Финансовый рейтинг;Название вклада;Ставка (%);Минимальная сумма вклада (руб);Максимальная сумма вклада (руб);Минимальный срок вклада (дни);Максимальный срок вклада (дни);Возможность пополнения;Возможность расторжения;Частичное снятие;Выплата процентов;Капитализация;Возможность пролонгации;Условия снятия;Условия пополнения;Особые условия;Ссылка
ПАО «МТС-Банк»;39;МТС Активный;3.60;1000;;271;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Активный;3.70;1000;;367;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Активный;3.40;1000;;550;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Активный;3.30;1000;;731;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Активный;3.45;700000;10000000;91;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Активный;3.60;700000;10000000;181;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Активный;3.70;700000;10000000;271;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Активный;3.80;700000;10000000;367;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Активный;3.50;700000;10000000;550;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Активный;3.40;700000;10000000;731;;возможно, но есть ограничения;на льготных условиях;невозможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения иные не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день', 'до максимальной суммы вклада'];;https://www.banki.ru/products/deposits/deposit/15369/
ПАО «МТС-Банк»;39;МТС Свободный;3.20;50000;;91;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.40;50000;;181;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.50;50000;;271;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.60;50000;;367;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.30;50000;;550;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.20;50000;;731;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.30;700000;10000000;91;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.50;700000;10000000;181;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.60;700000;10000000;271;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.70;700000;10000000;367;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.40;700000;10000000;550;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ПАО «МТС-Банк»;39;МТС Свободный;3.30;700000;10000000;731;;возможно, но есть ограничения;по ставке до востребования;возможно;ежемесячно на текущий счёт, на счёт банковской карты или на счёт до востребования;ежемесячно по выбору клиента;возможна;;['срок внесения пополнения не позднее 30  дней до окончания срока договора по вкладу, размещённому на срок 91 день   181 день', 'не позднее 60 дней до окончания срока договора по вкладу, размещённому на срок 271 день   367 дней', 'не позднее 90 дней до окончания срока договора по вкладу, размещённому на срок 550 дней   731 день'];;https://www.banki.ru/products/deposits/deposit/15370/
ООО «ФФИН Банк»;171;Проценты вперед - Инвестиционный;5.50;100000;;365;;нет;по ставке до востребования;невозможно;проценты вперед;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/19015/
ООО «ФФИН Банк»;171;Срочный;4.70;50000;;360;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/18461/
ООО «ФФИН Банк»;171;Проценты вперед;4.50;100000;;360;;нет;по ставке до востребования;невозможно;проценты вперед;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/18462/
АКБ «Трансстройбанк» (АО);202;ВИП;4.50;3000000;;91;;возможно, но есть ограничения;на льготных условиях;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения 1 000 000 рублей, 25 000 долларов евро', 'в течение первых 90 дней с момента заключения договора'];;https://www.banki.ru/products/deposits/deposit/9149/
АКБ «Трансстройбанк» (АО);202;ВИП;5.00;3000000;;181;;возможно, но есть ограничения;на льготных условиях;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения 1 000 000 рублей, 25 000 долларов евро', 'в течение первых 90 дней с момента заключения договора'];;https://www.banki.ru/products/deposits/deposit/9149/
АКБ «Трансстройбанк» (АО);202;ВИП;5.25;3000000;;271;;возможно, но есть ограничения;на льготных условиях;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения 1 000 000 рублей, 25 000 долларов евро', 'в течение первых 90 дней с момента заключения договора'];;https://www.banki.ru/products/deposits/deposit/9149/
АКБ «Трансстройбанк» (АО);202;ВИП;5.30;3000000;;365;;возможно, но есть ограничения;на льготных условиях;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения 1 000 000 рублей, 25 000 долларов евро', 'в течение первых 90 дней с момента заключения договора'];;https://www.banki.ru/products/deposits/deposit/9149/
АКБ «Трансстройбанк» (АО);202;ВИП;5.40;3000000;;400;;возможно, но есть ограничения;на льготных условиях;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения 1 000 000 рублей, 25 000 долларов евро', 'в течение первых 90 дней с момента заключения договора'];;https://www.banki.ru/products/deposits/deposit/9149/
АКБ «Трансстройбанк» (АО);202;ВИП;5.50;3000000;;540;;возможно, но есть ограничения;на льготных условиях;невозможно;в конце срока;нет;возможна;;['минимальная сумма срок внесения пополнения 1 000 000 рублей, 25 000 долларов евро', 'в течение первых 90 дней с момента заключения договора'];;https://www.banki.ru/products/deposits/deposit/9149/
АКБ «Трансстройбанк» (АО);202;Стратегический;5.10;100000;;1095;;нет;на льготных условиях;невозможно;в конце срока;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/20330/
АКБ «Трансстройбанк» (АО);202;Доходный;4.10;10000;;91;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.20;10000;;181;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.40;10000;;271;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.60;10000;;365;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.70;10000;;400;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.60;10000;;540;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.30;100000;;91;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.40;100000;;181;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.60;100000;;271;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.80;100000;;365;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.90;100000;;400;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.80;100000;;540;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.40;1400000;;91;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.50;1400000;;181;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.70;1400000;;271;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.90;1400000;;365;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;5.00;1400000;;400;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Доходный;4.90;1400000;;540;;нет;по ставке до востребования;невозможно;в конце срока на текущий счёт или на счёт банковской карты;нет;возможна;;;;https://www.banki.ru/products/deposits/deposit/468/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;3.90;10000;;181;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.10;10000;;271;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.30;10000;;365;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.40;10000;;400;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.30;10000;;540;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.10;100000;;181;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.30;100000;;271;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.50;100000;;365;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.60;100000;;400;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.50;100000;;540;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.20;1400000;;181;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.40;1400000;;271;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.60;1400000;;365;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.70;1400000;;400;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный;4.60;1400000;;540;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей, 150 долларов евро', 'в течение 60 дней со дня открытия вклада'];;https://www.banki.ru/products/deposits/deposit/13696/
АКБ «Трансстройбанк» (АО);202;Ежемесячный онлайн;3.90;10000;;181;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей', 'для вклада на срок 181 день  в течение первых 90 дней', 'на срок 271 день  в течение первых 130 дней', 'на срок 365 366   в течение первых 180 дней', 'на срок 400 дней  в течение первых 200 дней', 'на срок 540 дней  в течение первых 270 дней с момента открытия вклада'];;https://www.banki.ru/products/deposits/deposit/17720/
АКБ «Трансстройбанк» (АО);202;Ежемесячный онлайн;4.10;10000;;271;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей', 'для вклада на срок 181 день  в течение первых 90 дней', 'на срок 271 день  в течение первых 130 дней', 'на срок 365 366   в течение первых 180 дней', 'на срок 400 дней  в течение первых 200 дней', 'на срок 540 дней  в течение первых 270 дней с момента открытия вклада'];;https://www.banki.ru/products/deposits/deposit/17720/
АКБ «Трансстройбанк» (АО);202;Ежемесячный онлайн;4.30;10000;;365;;возможно, но есть ограничения;по ставке до востребования;невозможно;ежемесячно на текущий счёт;нет;возможна;;['минимальная сумма срок внесения пополнения 5 000 рублей', 'для вклада на срок 181 день  в течение первых 90 дней', 'на срок 271 день  в течение первых 130 дней', 'на срок 365 366   в течение первых 180 дней', 'на срок 400 дней  в течение первых 200 дней', 'на срок 540 дней  в течение первых 270 дней с момента открытия вклада'];;https://www.banki.ru/products/deposits/deposit/17720/
